Legacy class name	Default ns class name	New ns class name	Notes
Ac_Cg_Domain	\Avancore\Cg\Domain	\Avancore\Codegen\Domain	
Ac_Cg_Frontend	\Avancore\Cg\Frontend	\Avancore\Codegen\Frontend	
Ac_Cg_Generator	\Avancore\Cg\Generator	\Avancore\Codegen\Generator	
Ac_Cg_Inflector	\Avancore\Cg\Inflector	\Avancore\Codegen\Inflector	
Ac_Cg_Layout	\Avancore\Cg\Layout	\Avancore\Codegen\Layout\AbstractLayout	
Ac_Cg_Layout_Joomla	\Avancore\Cg\Layout\Joomla	\Avancore\Codegen\Layout\JoomlaLayout	
Ac_Cg_Layout_Native	\Avancore\Cg\Layout\Native	\Avancore\Codegen\Layout\NativeLayout	
Ac_Cg_Member	\Avancore\Cg\Member	\Avancore\Codegen\Member	
Ac_Cg_Model	\Avancore\Cg\Model	\Avancore\Codegen\Model	
Ac_Cg_Model_Part	\Avancore\Cg\Model\Part	\Avancore\Codegen\ModelPart	
Ac_Cg_Model_Relation	\Avancore\Cg\Model\Relation	\Avancore\Codegen\ModelRelation	
Ac_Cg_Php_Expression	\Avancore\Cg\Php\Expression	\Avancore\Codegen\PhpExpression	
Ac_Cg_Property	\Avancore\Cg\Property	\Avancore\Codegen\Property\AbstractProperty	
Ac_Cg_Property_Object	\Avancore\Cg\Property\Object	\Avancore\Codegen\Property\ObjectProperty	
Ac_Cg_Property_Simple	\Avancore\Cg\Property\Simple	\Avancore\Codegen\Property\SimpleProperty	
Ac_Cg_Template	\Avancore\Cg\Template	\Avancore\Codegen\Template\AbstractTemplate	
Ac_Cg_Template_Assoc_Strategy	\Avancore\Cg\Template\Assoc\Strategy	\Avancore\Codegen\Template\Association\AbstractAssociation	
Ac_Cg_Template_Assoc_Strategy_Many	\Avancore\Cg\Template\Assoc\Strategy\Many	\Avancore\Codegen\Template\Association\OneToManyAssociation	
Ac_Cg_Template_Assoc_Strategy_ManyToMany	\Avancore\Cg\Template\Assoc\Strategy\ManyToMany	\Avancore\Codegen\Template\Association\ManyToManyAssociation	
Ac_Cg_Template_Assoc_Strategy_One	\Avancore\Cg\Template\Assoc\Strategy\One	\Avancore\Codegen\Template\Association\ToOneAssociation	
Ac_Cg_Template_Domain	\Avancore\Cg\Template\Domain	\Avancore\Codegen\Template\DomainTemplate	
Ac_Cg_Template_Languages	\Avancore\Cg\Template\Languages	\Avancore\Codegen\Template\LanguagesTemplate	
Ac_Cg_Template_ModelAndMapper	\Avancore\Cg\Template\ModelAndMapper	\Avancore\Codegen\Template\ModelAndMapperTemplate	
Ac_Cg_Template_ModelPart	\Avancore\Cg\Template\ModelPart	\Avancore\Codegen\Template\ModelPartTemplate	
Ac_Cg_Template_Skel	\Avancore\Cg\Template\Skel	\Avancore\Codegen\Template\Skel\AbstractSkelTemplate	
Ac_Cg_Template_Skel_Joomla	\Avancore\Cg\Template\Skel\Joomla	\Avancore\Codegen\Template\Skel\JoomlaSkelTemplate	
Ac_Cg_Template_Skel_Native	\Avancore\Cg\Template\Skel\Native	\Avancore\Codegen\Template\Skel\NativeSkelTemplate	
Ac_Cg_Util	\Avancore\Cg\Util	\Avancore\Codegen\Util	
Ac_Cg_Writer_Abstract	\Avancore\Cg\Writer\Abstract	\Avancore\Codegen\Writer\AbstractWriter	
Ac_Cg_Writer_File	\Avancore\Cg\Writer\File	\Avancore\Codegen\Writer\FileWriter	
Ac_Cg_Writer_Memory	\Avancore\Cg\Writer\Memory	\Avancore\Codegen\Writer\MemoryWriter	
Ac_Compat_Exception	\Avancore\Compat\Exception	\Avancore\Exception\CompatException	
Ac_Compat_Overloader	\Avancore\Compat\Overloader		
Ac_Controller	\Avancore\Controller	\Avancore\Controller\Controller	
Ac_Controller_Context	\Avancore\Controller\Context	\Avancore\Controller\Context\AbstractContext	
Ac_Controller_Context_Http	\Avancore\Controller\Context\Http	\Avancore\Controller\Context\HttpContext	
Ac_Controller_Exception	\Avancore\Controller\Exception	\Avancore\Exception\ControllerException	duplicate?!
Ac_Controller_Output	\Avancore\Controller\Output	\Avancore\Controller\Output\AbstractOutput	
Ac_Controller_Output_Debug	\Avancore\Controller\Output\Debug	\Avancore\Controller\Output\DebugOutput	
Ac_Controller_Output_Joomla	\Avancore\Controller\Output\Joomla	\Avancore\Controller\Output\JoomlaOutput	
Ac_Controller_Output_Joomla15	\Avancore\Controller\Output\Joomla15		x
Ac_Controller_Output_Joomla3	\Avancore\Controller\Output\Joomla3	\Avancore\Controller\Output\Joomla3Output	
Ac_Controller_Output_Native	\Avancore\Controller\Output\Native	\Avancore\Controller\Output\NativeOutput	
Ac_Controller_Response	\Avancore\Controller\Response	\Avancore\Controller\Response\AbstractResponse	
Ac_Controller_Response_Global	\Avancore\Controller\Response\Global	\Avancore\Controller\Response\GlobalResponse	
Ac_Controller_Response_Html	\Avancore\Controller\Response\Html	\Avancore\Controller\Response\HtmlResponse	
Ac_Controller_Response_Http	\Avancore\Controller\Response\Http	\Avancore\Controller\Response\HttpResponse	
Ac_Controller_Response_Json	\Avancore\Controller\Response\Json	\Avancore\Controller\Response\JsonResponse	
Ac_Controller_Response_JsonPart	\Avancore\Controller\Response\JsonPart	\Avancore\Controller\Response\JsonResponsePart	
Ac_Controller_Response_Part	\Avancore\Controller\Response\Part	\Avancore\Controller\Response\ResponsePart	
Ac_Debug	\Avancore\Debug	\Avancore\Debug\Debug	
Ac_Debug_Callbacks	\Avancore\Debug\Callbacks		
Ac_Debug_FirePHP	\Avancore\Debug\FirePHP		
Ac_Debug_Log	\Avancore\Debug\Log		
Ac_Debug_Log_AbstractWriter	\Avancore\Debug\Log\AbstractWriter		
Ac_Debug_Log_FileWriter	\Avancore\Debug\Log\FileWriter		
Ac_Debug_Profiler	\Avancore\Debug\Profiler		
Ac_Debug_Profiler_Counter	\Avancore\Debug\Profiler\Counter		
Ac_Decorator	\Avancore\Decorator	\Avancore\Decorator\Decorator	
Ac_Decorator_ArrayMod	\Avancore\Decorator\ArrayMod	\Avancore\Decorator\ArrayModDecorator	
Ac_Decorator_Callback	\Avancore\Decorator\Callback	\Avancore\Decorator\CallbackDecorator	
Ac_Decorator_Cast	\Avancore\Decorator\Cast	\Avancore\Decorator\CastDecorator	
Ac_Decorator_Const	\Avancore\Decorator\Const	\Avancore\Decorator\ConstDecorator	
Ac_Decorator_Date	\Avancore\Decorator\Date	\Avancore\Decorator\DateDecorator	
Ac_Decorator_Debug_ObjectToClass	\Avancore\Decorator\Debug\ObjectToClass	\Avancore\Decorator\ObjectToClassDecorator	
Ac_Decorator_If	\Avancore\Decorator\If	\Avancore\Decorator\IfDecorator	
Ac_Decorator_Implode	\Avancore\Decorator\Implode	\Avancore\Decorator\ImplodeDecorator	
Ac_Decorator_Map	\Avancore\Decorator\Map	\Avancore\Decorator\MapDecorator	
Ac_Decorator_Model_Template	\Avancore\Decorator\Model\Template	\Avancore\Decorator\ModelTemplateDecorator	
Ac_Decorator_Multi	\Avancore\Decorator\Multi	\Avancore\Decorator\MultiDecorator	
Ac_Decorator_Print	\Avancore\Decorator\Print	\Avancore\Decorator\PrintDecorator	
Ac_Decorator_ReplaceNull	\Avancore\Decorator\ReplaceNull	\Avancore\Decorator\ReplaceNullDecorator	
Ac_Decorator_String	\Avancore\Decorator\String	\Avancore\Decorator\StringDecorator	
